N,method,seed,edge,rmse_edge
10,dynamic_dual,19,6,0.0535983973488485
10,dynamic_dual,19,7,0.0570222259542257
10,dynamic_dual,19,8,0.0632889960356908
10,dynamic_dual,19,9,0.0701918690579448
10,dynamic_dual,19,10,0.0792394392434757
15,periodic,0,1,0.00323594547272502
15,periodic,0,2,0.043898322896765
15,periodic,0,3,0.0473030948777837
15,periodic,0,4,0.0498464417478302
15,periodic,0,5,0.0520112296074095
15,periodic,0,6,0.0547482833174907
15,periodic,0,7,0.0588991324709121
15,periodic,0,8,0.0647716702309321
15,periodic,0,9,0.0719125387823821
15,periodic,0,10,0.0794557176273685
15,periodic,0,11,0.0865353472579578
15,periodic,0,12,0.0926659193541755
15,periodic,0,13,0.0980969616076643
15,periodic,0,14,0.103409413924719
15,periodic,0,15,0.10950794350751
15,periodic,1,1,0.00324081037665139
15,periodic,1,2,0.0439075456652775
15,periodic,1,3,0.0472992846397781
15,periodic,1,4,0.049842669701939
15,periodic,1,5,0.0520129465489129
15,periodic,1,6,0.0547464363994978
15,periodic,1,7,0.0589031671173531
15,periodic,1,8,0.064776130827813
15,periodic,1,9,0.0719201622255707
15,periodic,1,10,0.07944388013069
15,periodic,1,11,0.0865297232908288
15,periodic,1,12,0.0926887117693801
15,periodic,1,13,0.0981098259827399
15,periodic,1,14,0.103386685298919
15,periodic,1,15,0.109576212904792
15,periodic,2,1,0.00324213636941864
15,periodic,2,2,0.0438991452267896
15,periodic,2,3,0.0473184268589455
15,periodic,2,4,0.0498356282697152
15,periodic,2,5,0.0520125860428388
15,periodic,2,6,0.0547451256543665
15,periodic,2,7,0.0589004833807284
15,periodic,2,8,0.0647672637292882
15,periodic,2,9,0.0719227778601874
15,periodic,2,10,0.0794456053548388
15,periodic,2,11,0.0865153553771255
15,periodic,2,12,0.0927140100647921
15,periodic,2,13,0.0981319348176006
15,periodic,2,14,0.103434536970677
15,periodic,2,15,0.109625451403243
15,periodic,3,1,0.00324168351284914
15,periodic,3,2,0.0439057434131709
15,periodic,3,3,0.0473043403197819
15,periodic,3,4,0.0498403536661561
15,periodic,3,5,0.0520138572092936
15,periodic,3,6,0.0547459936004535
15,periodic,3,7,0.0589087020914156
15,periodic,3,8,0.0647696544448922
15,periodic,3,9,0.0719129296844313
15,periodic,3,10,0.0794285537401805
15,periodic,3,11,0.0865239435846537
15,periodic,3,12,0.0926817616757094
15,periodic,3,13,0.0981059376261759
15,periodic,3,14,0.103441062166264
15,periodic,3,15,0.109568730950872
15,periodic,4,1,0.0032349710917912
15,periodic,4,2,0.0438958739964822
15,periodic,4,3,0.0473126986116346
15,periodic,4,4,0.0498340297872963
15,periodic,4,5,0.052013282830927
15,periodic,4,6,0.0547499520963644
15,periodic,4,7,0.0588956533572157
15,periodic,4,8,0.0647871947750634
15,periodic,4,9,0.0718991128868851
15,periodic,4,10,0.0794309391643311
15,periodic,4,11,0.0864985843648323
15,periodic,4,12,0.0926881459164883
15,periodic,4,13,0.0980573575319718
